animal_id,weight_kg,height_cm,habitat,diet_type,species
1,184.0,108.8,Savanna,Carnivore,Lion
2,978.9,540.6,Grassland,Herbivore,Giraffe
3,154.7,121.5,Savanna,Carnivore,Lion
4,5860.5,265.1,Savanna,Herbivore,Elephant
5,4206.9,337.1,Forest,Herbivore,Elephant
6,4.7,45.9,Forest,Omnivore,Fox
7,69.2,63.2,Forest,Carnivore,Wolf
8,391.8,127.4,Forest,Omnivore,Bear
9,343.9,111.5,Grassland,Herbivore,Zebra
10,202.5,121.9,Savanna,Carnivore,Lion
11,2.6,23.7,Forest,Herbivore,Rabbit
12,991.8,497.9,Savanna,Herbivore,Giraffe
13,74.9,79.9,Tundra,Carnivore,Wolf
14,4725.3,257.0,Savanna,Herbivore,Elephant
15,4726.4,264.9,Forest,Herbivore,Elephant
16,207.7,109.9,Grassland,Carnivore,Lion
17,178.8,124.5,Grassland,Carnivore,Lion
18,5.2,46.3,Forest,Omnivore,Fox
19,2.9,22.1,Grassland,Herbivore,Rabbit
20,991.4,503.8,Savanna,Herbivore,Giraffe
21,3630.4,264.6,Forest,Herbivore,Elephant
22,283.2,121.3,Savanna,Herbivore,Zebra
23,4978.6,301.5,Savanna,Herbivore,Elephant
24,4300.4,308.9,Forest,Herbivore,Elephant
25,1089.9,425.5,Savanna,Herbivore,Giraffe
26,2900.2,320.1,Forest,Herbivore,Elephant
27,4.4,37.2,Grassland,Omnivore,Fox
28,213.1,114.6,Grassland,Carnivore,Lion
29,6.4,35.0,Forest,Omnivore,Fox
30,237.8,107.9,Tundra,Omnivore,Bear
31,208.2,116.0,Savanna,Carnivore,Lion
32,214.9,112.7,Grassland,Herbivore,Zebra
33,246.2,101.9,Savanna,Carnivore,Lion
34,1.0,39.9,Grassland,Herbivore,Rabbit
35,297.1,137.4,Savanna,Herbivore,Zebra
36,327.0,114.5,Grassland,Herbivore,Zebra
37,174.5,138.8,Forest,Omnivore,Bear
38,2774.5,296.2,Savanna,Herbivore,Elephant
39,287.2,119.5,Grassland,Herbivore,Zebra
40,8.1,43.8,Forest,Omnivore,Fox
41,7.7,47.2,Forest,Omnivore,Fox
42,367.8,113.6,Savanna,Herbivore,Zebra
43,5853.0,310.2,Forest,Herbivore,Elephant
44,390.8,113.1,Forest,Omnivore,Bear
45,1.5,38.1,Forest,Herbivore,Rabbit
46,7.8,45.8,Grassland,Omnivore,Fox
47,153.7,110.8,Grassland,Carnivore,Lion
48,49.6,69.5,Forest,Carnivore,Wolf
49,1.8,30.7,Grassland,Herbivore,Rabbit
50,4570.4,303.7,Forest,Herbivore,Elephant
51,3639.2,288.6,Forest,Herbivore,Elephant
52,254.3,112.3,Tundra,Omnivore,Bear
53,1.5,20.3,Forest,Herbivore,Rabbit
54,131.9,140.9,Tundra,Omnivore,Bear
55,160.5,115.6,Tundra,Omnivore,Bear
56,297.0,127.3,Tundra,Omnivore,Bear
57,390.5,114.0,Grassland,Herbivore,Zebra
58,8.8,40.6,Grassland,Omnivore,Fox
59,299.6,136.3,Grassland,Herbivore,Zebra
60,125.2,113.9,Forest,Omnivore,Bear
61,257.9,112.3,Grassland,Herbivore,Zebra
62,165.2,112.2,Grassland,Carnivore,Lion
