Weather,Temperature,Humidity,Windy,Play
Sunny,Hot,High,No,No
Sunny,Hot,High,Yes,No
Cloudy,Hot,Normal,No,Yes
Rainy,Mild,High,No,Yes
Rainy,Cool,Normal,No,Yes
Rainy,Cool,Normal,Yes,No
Cloudy,Cool,Normal,Yes,Yes
Sunny,Mild,High,No,No
Sunny,Cool,Normal,No,Yes
Rainy,Mild,Normal,No,Yes
Sunny,Mild,Normal,Yes,Yes
Cloudy,Mild,High,Yes,Yes
Cloudy,Hot,Normal,No,Yes
Rainy,Mild,High,Yes,No
Sunny,Hot,High,No,No
Sunny,Cool,Normal,Yes,Yes
Cloudy,Mild,High,No,Yes
Rainy,Cool,Normal,Yes,No
Sunny,Mild,High,Yes,No
Cloudy,Hot,Normal,No,Yes
